job_title,min_salary,max_salary
"Public Accountant",8300,8300
"Accounting Manager",12000,12000
"Administration Assistant",4400,4400
President,24000,24000
"Administration Vice President",17000,17000
Accountant,6900,9000
"Finance Manager",12000,12000
"Human Resources Representative",6500,6500
Programmer,4200,9000
"Marketing Manager",13000,13000
"Marketing Representative",6000,6000
"Public Relations Representative",10000,10000
"Purchasing Clerk",2500,3100
"Purchasing Manager",11000,11000
"Sales Manager",10500,14000
"Sales Representative",6100,11500
"Shipping Clerk",2500,4200
"Stock Clerk",2100,3600
"Stock Manager",5800,8200
